# eBE(cm-1)  int. (rel. X0)  beta
28427.809      0.03239      -1.80931
28487.041      0.02497      -0.21317
28546.081     -0.00601       1.35591
28604.929      0.03559      -1.00151
28663.585      0.05656      -0.25086
28722.049      0.05277      -0.16663
28780.321      0.03761      -0.51924
28838.401      0.04460      -0.69817
28896.289      0.04665      -0.10792
28953.985      0.06266      -0.42424
29011.489      0.10623      -0.78486
29068.801      0.08570      -0.61911
29125.921      0.02741       0.38483
29182.849      0.06272      -0.22548
29239.585      0.09226      -0.44099
29296.129      0.05824      -0.28037
29352.481      0.06127      -1.26631
29408.641      0.06249      -0.46746
29464.609      0.06887      -0.63201
29520.385      0.03881      -0.96441
29575.969     -0.00400       5.46833
29631.361      0.02857      -0.69654
29686.561      0.01241       0.59636
29741.569      0.02927      -0.98947
29796.385      0.00439       7.43481
29851.009      0.01346      -1.25908
29905.441      0.02800       0.60562
29959.681      0.01930      -0.13378
30013.729      0.04032      -0.35093
30067.585      0.01416      -2.08780
30121.249      0.03217      -0.70672
30174.721      0.02288      -1.59209
30228.001      0.01284       1.49972
30281.089      0.01983      -1.86306
30333.985      0.01776      -2.21710
30386.689      0.01394       0.18017
30439.201      0.03885      -0.72210
30491.521      0.00413       6.49565
30543.649      0.01130      -3.23122
30595.585     -0.00038      -2.68305
30647.329      0.02405      -0.14643
30698.881      0.00498      -3.28296
30750.241      0.02884      -0.30510
30801.409      0.02606      -1.54861
30852.385     -0.00157     -20.32562
30903.169      0.01753      -1.21206
30953.761      0.02054      -0.43876
31004.161      0.01135      -4.29841
31054.369      0.01628      -0.70521
31104.385      0.02565       0.95073
31154.209      0.00609      -3.08225
31203.841      0.00908      -0.27492
31253.281      0.00774      -2.70190
31302.529      0.01964      -0.62663
31351.585     -0.00183       1.75255
31400.449      0.00674       5.32104
31449.121      0.01353      -2.32587
31497.601      0.01242       0.69042
31545.889      0.00981      -3.33819
31593.985      0.00827       1.18847
31641.889      0.00006    -159.60130
31689.601      0.00293       1.47089
31737.121      0.01419      -1.25577
31784.449      0.03078      -0.03732
31831.585     -0.01419      -0.80471
31878.529     -0.00321      10.68253
31925.281      0.02624       0.57492
31971.841     -0.01024      -1.47017
32018.209      0.03499      -0.15238
32064.385      0.02411      -1.53996
32110.369     -0.00687       1.53125
32156.161      0.02906      -1.76191
32201.761      0.00089      10.65299
32247.169      0.00098      26.76129
32292.385      0.01148      -3.36437
32337.409      0.01286       0.06688
32382.241      0.00746      -0.16400
32426.881     -0.00490      -0.67392
32471.329      0.02071      -1.29897
32515.585      0.00860      -4.23347
32559.649      0.01135      -0.73353
32603.521      0.00053     -91.91847
32647.201      0.00826       5.63875
32690.689      0.02643      -0.19170
32733.985      0.01650       0.10448
32777.089      0.00369      -7.37171
32820.001     -0.00851      -2.23364
32862.721      0.02851      -0.01523
32905.249      0.01934      -1.82815
32947.585      0.00446       1.90385
32989.729     -0.01079       2.56808
33031.681      0.04424      -1.21600
33073.441      0.00141     -10.69406
33115.009      0.00915       0.95235
33156.385     -0.00209      13.19330
33197.569      0.00952       1.21999
