# eBE(cm-1)  int. (rel. X0)  beta
31327.081      0.00002       3.12726
31351.585      0.00006       4.59188
31376.041      0.00006      -1.54564
31400.449      0.00015      -2.31507
31424.809      0.00015      -2.01345
31449.121      0.00023      -1.81417
31473.385      0.00005      -2.21871
31497.601     -0.00004      -1.04414
31521.769      0.00011      -1.52791
31545.889      0.00035      -1.44090
31569.961      0.00037      -1.47844
31593.985     -0.00009      -1.47243
31617.961     -0.00018      -1.39381
31641.889     -0.00006      -1.01667
31665.769     -0.00012      -1.39440
31689.601     -0.00016      -1.44445
31713.385     -0.00009      -1.40374
31737.121     -0.00004      -1.22450
31760.809      0.00015      -1.62237
31784.449      0.00028      -1.52800
31808.041      0.00007      -1.24068
31831.585      0.00013      -1.08557
31855.081      0.00013      -1.07142
31878.529     -0.00016      -1.22470
31901.929      0.00017      -1.89659
31925.281      0.00030      -1.24073
31948.585     -0.00017      -3.31939
31971.841     -0.00029      -1.81558
31995.049     -0.00014      -0.24643
32018.209      0.00018      -0.84517
32041.321      0.00076      -0.84842
32064.385      0.00019      -2.14063
32087.401     -0.00049      -1.23896
32110.369     -0.00016      -2.94403
32133.289     -0.00001       7.47450
32156.161      0.00003      -6.08503
32178.985      0.00002      -3.59378
32201.761      0.00009      -2.33820
32224.489      0.00016      -2.06056
32247.169     -0.00003      -0.60847
32269.801     -0.00012      -1.41669
32292.385     -0.00016      -1.07468
32314.921     -0.00016      -1.00058
32337.409     -0.00011      -0.75800
32359.849     -0.00005       1.63881
32382.241      0.00004     -12.32755
32404.585     -0.00030       1.57497
32426.881      0.00009      24.79714
32449.129      0.00528       3.32302
32471.329      0.01483       2.59630
32493.481      0.02265       1.31090
32515.585      0.04126      -0.07403
32537.641      0.07131      -0.97411
32559.649      0.08173      -1.18015
32581.609      0.05504      -1.16591
32603.521      0.04069      -1.08054
32625.385      0.04056      -1.08815
32647.201      0.03219      -1.08508
32668.969      0.02099      -0.96320
32690.689      0.00923       0.30336
32712.361      0.01023      -0.05540
32733.985      0.02282      -0.87290
32755.561      0.02854      -0.93343
32777.089      0.02190      -0.33309
32798.569      0.01832      -0.13226
32820.001      0.02159      -0.75354
32841.385      0.01504      -0.94687
32862.721      0.01126      -0.60741
32884.009      0.01248      -0.43626
32905.249      0.01343      -0.38783
32926.441      0.01405      -0.36653
32947.585      0.01619      -0.44369
32968.681      0.02079      -0.78254
32989.729      0.01924      -0.99873
33010.729      0.02632      -0.81494
33031.681      0.05137      -0.94846
33052.585      0.06489      -0.86907
33073.441      0.04776      -0.42662
33094.249      0.03235       0.08536
33115.009      0.02824      -0.19074
33135.721      0.01509      -0.73730
33156.385      0.00790      -0.68938
33177.001      0.01915      -0.54915
33197.569      0.02540      -0.62989
33218.089      0.02307      -1.05562
33238.561      0.02531      -0.92485
33258.985      0.02013      -0.85757
33279.361      0.01362      -0.94186
33299.689      0.01039      -0.52409
33319.969      0.00700      -1.13431
33340.201      0.01556      -0.62534
33360.385      0.01571      -0.61021
33380.521      0.01029      -1.06610
33400.609      0.01369      -0.63725
33420.649      0.01536      -0.94557
33440.641      0.01275      -0.72565
33460.585      0.01548      -0.70033
33480.481      0.01394      -1.26871
33500.329      0.01541      -1.09792
33520.129      0.01682      -0.01761
33539.881      0.02165      -0.21256
33559.585      0.03091      -0.23160
33579.241      0.05678       0.44966
33598.849      0.09980       0.80637
33618.409      0.25183       0.39901
33637.921      0.64989       0.59770
33657.385      1.00000       1.72373
33676.801      0.98282       3.04697
33696.169      0.97055       2.34677
33715.489      0.76702       0.82498
33734.761      0.28948      -0.27136
33753.985      0.05524      -1.67142
33773.161      0.02547      -2.30554
33792.289      0.04475      -0.59105
33811.369      0.05045      -0.08899
33830.401      0.04445       0.70577
33849.385      0.04255       0.42120
33868.321      0.05364      -0.95865
33887.209      0.04168      -0.55985
33906.049      0.02002      -0.21561
33924.841      0.01056       1.59156
33943.585      0.01678      -1.75587
33962.281      0.02311      -0.51973
33980.929      0.02421       1.75391
33999.529      0.02997       1.49015
34018.081      0.03343       0.55774
34036.585      0.02746       0.75189
34055.041      0.01967      -0.68887
34073.449      0.01422      -2.32375
34091.809      0.01825      -0.84837
34110.121      0.02164      -0.43987
34128.385      0.02441       0.17168
34146.601      0.02539      -1.02110
34164.769      0.02929      -0.03001
34182.889      0.02037       1.13825
34200.961      0.02472       0.39956
34218.985      0.03056       0.56628
34236.961      0.03320      -0.16460
34254.889      0.03505      -0.60408
34272.769      0.01197      -0.86925
34290.601      0.00369      -2.58702
34308.385      0.02354      -0.26147
34326.121      0.03075       0.34841
34343.809      0.01471       1.39497
34361.449      0.02438       0.72836
34379.041      0.06639      -0.18056
34396.585      0.12238       0.22958
