# eBE(cm-1)  int. (rel. X0)  beta
21377.569      0.04026       0.06102
21417.001      0.03161       0.48824
21456.385      0.05831      -0.41346
21495.721      0.09508      -0.05799
21535.009      0.07409      -1.09776
21574.249      0.05383      -1.25073
21613.441      0.03873       1.03398
21652.585      0.07343      -0.48401
21691.681      0.06704       0.25428
21730.729      0.08691      -0.68950
21769.729      0.05918      -0.86284
21808.681      0.09072      -0.74348
21847.585      0.13482      -0.90063
21886.441      0.06401      -0.24179
21925.249      0.04163      -1.01086
21964.009      0.09366      -0.27350
22002.721      0.05682      -0.33685
22041.385      0.09556      -1.14619
22080.001      0.09427      -0.54805
22118.569      0.00085      64.25808
22157.089      0.01025       2.50301
22195.561      0.05023      -0.19180
22233.985     -0.00425     -18.42628
22272.361      0.05034      -0.34627
22310.689      0.13037      -0.30379
22348.969      0.06672      -0.16397
22387.201     -0.00991      -0.95000
22425.385      0.02423       1.22105
22463.521      0.04656      -1.27820
22501.609      0.02059      -2.28524
22539.649      0.08295      -0.49609
22577.641      0.09071      -0.67297
22615.585      0.02849       1.64666
22653.481      0.04320      -0.59754
22691.329      0.05697      -1.43367
22729.129      0.09521      -0.56493
22766.881      0.09372      -0.33974
22804.585      0.03761      -0.42344
22842.241     -0.00673       2.69484
22879.849      0.02135       0.67093
22917.409      0.10723      -0.09398
22954.921      0.01065       0.17016
22992.385      0.07854       0.00931
23029.801      0.12764      -0.02126
23067.169      0.14616      -1.11530
23104.489      0.04249      -4.00102
23141.761      0.04089      -1.55969
23178.985      0.11198      -0.11681
23216.161      0.23506      -0.60714
23253.289      0.39683      -1.18160
23290.369      0.63213      -1.00235
23327.401      0.71226      -0.70321
23364.385      0.75150      -0.39955
23401.321      0.79924      -0.10323
23438.209      0.71106       0.54647
23475.049      0.69757       0.99380
23511.841      0.70470       1.42810
23548.585      0.65605       2.52457
23585.281      0.59764       3.45339
23621.929      0.55659       3.77549
23658.529      0.56363       4.22183
23695.081      0.44012       5.80700
23731.585      0.41150       6.53117
23768.041      0.44663       5.84956
23804.449      0.43800       5.79754
23840.809      0.50530       4.48740
23877.121      0.63209       3.48503
23913.385      0.71879       2.30685
23949.601      0.77396       1.12411
23985.769      0.73944       0.78047
24021.889      0.72625       0.21001
24057.961      0.86454      -0.29400
24093.985      1.00000      -0.55523
24129.961      0.76879      -0.91916
24165.889      0.53768      -0.53314
24201.769      0.31936      -0.77105
24237.601      0.13368      -2.15432
24273.385      0.12403       0.23106
24309.121      0.06036       0.47558
24344.809      0.05939       1.11306
24380.449      0.19732       1.12126
24416.041      0.16386       0.24975
24451.585      0.09060      -1.52991
24487.081      0.12500      -0.01730
24522.529      0.09324      -1.38543
24557.929      0.08758      -0.14992
24593.281      0.07731      -0.98605
24628.585      0.11749      -0.41345
24663.841      0.09282       1.35897
24699.049     -0.00051       2.90958
24734.209     -0.06662       0.34105
24769.321      0.03828      -0.24304
24804.385      0.16345      -1.21624
24839.401      0.12456      -0.80108
24874.369      0.04602       1.90349
24909.289      0.11555       0.46242
24944.161      0.12193       0.35724
24978.985      0.08484      -0.96051
25013.761      0.01566       3.78572
25048.489     -0.03039      -0.91366
25083.169      0.03996      -4.46486
25117.801      0.06823      -0.50584
25152.385      0.12863      -1.32005
25186.921      0.17328      -1.61245
25221.409      0.10090       0.33677
25255.849      0.12895       0.31926
25290.241      0.20757       0.39319
25324.585      0.22821      -0.37346
25358.881      0.19174      -0.34964
25393.129      0.23075       0.57473
25427.329      0.19983       0.89588
25461.481      0.16191       1.75658
25495.585      0.13301       3.09484
25529.641      0.10057       3.80257
25563.649      0.12056       2.97959
25597.609      0.20069       1.55783
25631.521      0.14573       1.64840
25665.385      0.06582       4.97526
25699.201      0.08308       5.05612
25732.969      0.05829       5.39972
25766.689      0.06112       3.31411
25800.361      0.16098       0.33605
25833.985      0.25004       0.90185
25867.561      0.22224       0.52950
25901.089      0.25798      -0.79187
25934.569      0.26235      -1.04247
25968.001      0.12549      -0.36930
26001.385      0.09124       1.49738
26034.721      0.11766       0.75901
