# eBE(cm-1)  int. (rel. X0)  beta
31327.081     -0.00000      -0.21180
31351.585      0.00000      -0.20629
31376.041     -0.00000      -0.22025
31400.449      0.00000      -0.19126
31424.809     -0.00000      -2.32794
31449.121      0.00000      -0.10338
31473.385      0.00000       0.27420
31497.601      0.00000       0.66701
31521.769     -0.00000      -1.28224
31545.889     -0.00000      -1.62963
31569.961     -0.00000       0.13939
31593.985      0.00000     263.97459
31617.961     -0.00000       0.47408
31641.889      0.00000       0.19153
31665.769     -0.00000      -0.06255
31689.601      0.00000      20.53732
31713.385      0.00004      -0.31314
31737.121      0.00005      -1.47516
31760.809     -0.00005      -1.03273
31784.449     -0.00001      -0.78062
31808.041      0.00001      10.46330
31831.585     -0.00001       4.74714
31855.081     -0.00000       0.34824
31878.529     -0.00000       1.91539
31901.929     -0.00000       0.94218
31925.281     -0.00000       0.92829
31948.585     -0.00000       0.74241
31971.841     -0.00000       0.63921
31995.049     -0.00000       0.56151
32018.209     -0.00000       0.48545
32041.321     -0.00000       0.45981
32064.385     -0.00000       0.29107
32087.401     -0.00000       0.57014
32110.369     -0.00000       0.11207
32133.289      0.00001       3.90017
32156.161      0.00001       3.82769
32178.985     -0.00002       3.51795
32201.761      0.00000      10.70703
32224.489     -0.00000       2.55366
32247.169     -0.00000       1.22291
32269.801     -0.00000       1.12480
32292.385      0.00000       6.32230
32314.921     -0.00001       0.85909
32337.409      0.00002       1.10279
32359.849     -0.00011       0.61979
32382.241      0.00027       0.48041
32404.585     -0.00089       0.23403
32426.881      0.01811       0.69436
32449.129      0.24036       0.33956
32471.329      0.26791      -0.64997
32493.481      0.09895      -1.06775
32515.585      0.11918      -0.53587
32537.641      0.07027      -1.37270
32559.649      0.08175      -1.25898
32581.609      0.04058      -0.63756
32603.521      0.04684      -0.95444
32625.385      0.04285      -0.50702
32647.201      0.04002      -0.66513
32668.969      0.04242      -0.51747
32690.689      0.03394      -0.46465
32712.361      0.03852      -0.45546
32733.985      0.02557      -0.07768
32755.561      0.04002      -0.45994
32777.089      0.03925      -0.39827
32798.569      0.02163      -0.28268
32820.001      0.03305      -0.46706
32841.385      0.03172      -0.16891
32862.721      0.03340      -0.37331
32884.009      0.02375       0.00957
32905.249      0.03672      -0.15668
32926.441      0.02829      -0.43194
32947.585      0.02729       0.01660
32968.681      0.02472      -0.17056
32989.729      0.03319      -0.32606
33010.729      0.02332      -0.12006
33031.681      0.03394      -0.14611
33052.585      0.03745      -0.24071
33073.441      0.03372       0.10547
33094.249      0.07183      -0.72777
33115.009      0.23507      -1.05120
33135.721      0.17198      -0.56276
33156.385      0.04486      -0.67169
33177.001      0.02258      -0.09041
33197.569      0.03607      -1.26294
33218.089      0.05115      -0.92538
33238.561      0.03278      -0.70902
33258.985      0.04214      -0.74730
33279.361      0.03991      -1.16100
33299.689      0.03633      -0.70432
33319.969      0.03095      -0.65622
33340.201      0.03579      -0.86978
33360.385      0.02760      -0.60688
33380.521      0.03205      -1.03288
33400.609      0.03281      -0.87435
33420.649      0.02206      -0.58227
33440.641      0.02824      -1.04522
33460.585      0.03681      -0.49955
33480.481      0.02710      -0.95911
33500.329      0.03545      -1.13036
