# eBE(cm-1)  int. (rel. X0)  beta
33520.129      0.01518      -0.27408
33530.011      0.02689      -0.66684
33539.881      0.01662      -0.33042
33549.739      0.01457      -1.29059
33559.585      0.02072      -1.11863
33569.419      0.01363      -0.05680
33579.241      0.03038      -0.72389
33589.051      0.01968      -0.70973
33598.849      0.01659      -1.93933
33608.635      0.00539       1.65940
33618.409      0.01112      -0.98660
33628.171      0.01598      -0.20582
33637.921      0.01366      -1.01085
33647.659      0.02123      -1.19209
33657.385      0.02279      -0.25604
33667.099      0.02247      -0.55152
33676.801      0.00657      -2.25567
33686.491      0.01738      -0.07316
33696.169      0.02940      -1.67166
33705.835      0.00685       0.41578
33715.489      0.00813      -1.18513
33725.131      0.02184      -0.37898
33734.761      0.01384      -0.95460
33744.379      0.02471      -0.85826
33753.985      0.02784      -0.85609
33763.579      0.00926      -0.57504
33773.161      0.00042      13.45271
33782.731      0.01362      -1.31313
33792.289      0.01433      -1.07088
33801.835      0.01242      -0.29290
33811.369      0.03213      -1.03011
33820.891      0.01097      -0.72798
33830.401      0.02273      -0.78448
33839.899      0.01792      -1.72568
33849.385      0.00586       0.11500
33858.859      0.01418      -0.65284
33868.321      0.02704      -0.41615
33877.771      0.01179      -1.52823
33887.209      0.00273      -0.01237
33896.635      0.00584       0.20732
33906.049      0.00995      -0.94766
33915.451      0.00592       1.54213
33924.841      0.02840      -1.32266
33934.219      0.00318       0.57243
33943.585      0.00809      -1.29969
33952.939      0.00924      -0.41515
33962.281      0.02762      -1.09853
33971.611      0.02152      -1.07222
33980.929      0.01596      -1.09297
33990.235      0.01129      -0.52773
33999.529      0.02136      -0.94374
34008.811      0.01068       0.25649
34018.081      0.02275      -0.61758
34027.339      0.00764       0.46312
34036.585      0.02149       0.44291
34045.819      0.02549       0.79665
34055.041      0.05119       0.17485
34064.251      0.07377       1.19199
34073.449      0.11940       1.18935
34082.635      0.10644       1.06617
34091.809      0.15365       1.41671
34100.971      0.54805       1.48542
34110.121      1.00000       1.37775
34119.259      0.69223       1.78332
34128.385      0.29960       1.57172
34137.499      0.08752       0.61376
34146.601      0.04100       0.09852
34155.691      0.01945       0.37974
34164.769      0.02270      -1.32043
34173.835      0.02719       0.07709
34182.889      0.03421       0.19305
34191.931      0.03962      -0.57667
34200.961      0.05431       0.43001
34209.979      0.06245      -0.41014
34218.985      0.02132      -1.43947
34227.979      0.02259      -0.10753
34236.961      0.01002      -1.15852
34245.931      0.03111      -1.73816
34254.889     -0.00646      -1.13372
34263.835      0.02012       0.23508
34272.769      0.00256      -3.32608
34281.691      0.00868       1.10038
34290.601      0.00978       0.26764
34299.499      0.03133      -0.77568
34308.385      0.04008       0.33547
34317.259      0.03642      -0.41112
34326.121     -0.00476      -7.61715
34334.971      0.03709      -1.04965
34343.809      0.01536      -0.33963
34352.635      0.01421      -0.37691
34361.449      0.00820      -2.14025
34370.251      0.01497      -0.25019
34379.041      0.01023      -2.64559
34387.819      0.02121      -0.65636
34396.585      0.00361      -3.98087
34405.339      0.00867       0.07056
34414.081      0.02036      -0.93531
34422.811      0.01597       0.16409
34431.529      0.01255      -1.38250
34440.235      0.01124       0.42183
34448.929      0.01143      -0.94933
34457.611      0.01708      -1.03461
34466.281      0.00803      -5.67162
34474.939      0.01444       0.42228
34483.585      0.00569       1.75182
34492.219      0.02422      -0.76989
34500.841      0.01146       0.44907
34509.451      0.02316       0.27903
34518.049      0.01025       1.71627
34526.635      0.01587      -3.25973
34535.209      0.00935       2.55382
34543.771      0.03538       0.20112
34552.321      0.00890      -1.77915
34560.859      0.05337      -0.03706
34569.385      0.10991       1.29058
34577.899      0.16921       0.98103
34586.401      0.11775       1.64717
34594.891      0.04203       1.57794
34603.369      0.01498      -2.56915
34611.835      0.03060       0.01077
34620.289      0.01961      -0.47064
34628.731      0.03794      -0.75924
34637.161      0.08141      -0.57789
34645.579      0.04847      -0.37255
34653.985      0.02921      -0.73950
34662.379      0.03573      -0.30985
34670.761      0.02632      -0.72008
34679.131      0.02191      -1.19838
34687.489      0.01108       1.38953
34695.835      0.01853      -1.50835
34704.169      0.00685      -0.77373
34712.491      0.02265      -2.24406
34720.801     -0.00429      -8.26089
34729.099      0.00825      -0.51875
34737.385      0.02954      -0.02243
34745.659      0.02038       1.00544
34753.921      0.03281       1.02149
34762.171      0.03206       0.75312
34770.409      0.01721      -1.06258
34778.635      0.02443      -1.47587
34786.849      0.01379       1.89165
34795.051      0.01570       0.09277
34803.241      0.01169       0.25437
34811.419      0.00308      -6.88364
34819.585      0.01119      -3.70247
34827.739      0.02778      -0.84101
34835.881      0.04034      -0.34316
34844.011      0.03570      -0.10469
34852.129      0.04579      -1.35657
34860.235      0.02957      -0.37778
34868.329      0.01947       0.13350
34876.411      0.00938      -4.08082
34884.481      0.02942      -0.46041
34892.539      0.01586      -0.24216
34900.585      0.03186      -0.73156
34908.619      0.02018      -0.21186
34916.641      0.02260      -1.17682
34924.651     -0.00496      -2.43231
34932.649      0.01844      -2.17130
34940.635      0.01275       0.60992
34948.609      0.00935      -3.29414
34956.571      0.01693       0.33241
34964.521      0.01046      -1.45101
34972.459      0.00389       0.36582
34980.385      0.03481      -0.79881
34988.299      0.01314      -0.34331
34996.201      0.01704      -1.49107
35004.091      0.07963      -0.67753
35011.969      0.18502      -0.71248
35019.835      0.26954      -0.66689
35027.689      0.22886      -0.54074
35035.531      0.17933      -0.43901
35043.361      0.15890      -0.57777
35051.179      0.12642      -0.54918
35058.985      0.09417      -0.96847
35066.779      0.12238      -0.52165
35074.561      0.06985      -1.09019
35082.331      0.05924      -0.42121
35090.089      0.01369      -1.46997
35097.835      0.02922       0.10707
35105.569      0.03439      -0.67709
35113.291      0.06806      -0.51484
35121.001      0.14247      -0.84972
35128.699      0.14180      -0.59932
35136.385      0.18584      -0.65861
35144.059      0.24603      -0.72516
35151.721      0.24102      -0.63778
35159.371      0.16624      -0.72500
35167.009      0.03886       0.60651
